aardwolves	aardwolf
sopping	sop
soprani	soprano
sordini	sordino
sori	sorus
soroses	sorosis
sorrier	sorry
sorriest	sorry
sought	seek
soupier	soupy
soupiest	soupy
souther	souther
southerner	southerner
sovkhozy	sovkhoz
sown	sow
spadefishes	spadefish
spadices	spadix
spagged	spag
spagging	spag
spancelled	spancel
spancelling	spancel
spanned	span
spanning	span
sparred	spar
sparring	spar
spat	spit
spatted	spat
spatting	spat
spearfishes	spearfish
specified	specify
spectra	spectrum
specula	speculum
sped	speed
speechified	speechify
speedier	speedy
speediest	speedy
spellbound	spellbind
spelt	spell
spent	spend
spermatia	spermatium
spermatogonia	spermatogonium
spermatozoa	spermatozoon
spermogonia	spermogonium
sphinges	sphinx
spicae	spica
spicier	spicy
spiciest	spicy
spicula	spiculum
spied	spy
spiffier	spiffy
spiffiest	spiffy
spikier	spiky
spikiest	spiky
spilt	spill
spin-dried	spin-dry
spindlier	spindly
spindliest	spindly
spinier	spiny
spiniest	spiny
spinning	spin
spiralled	spiral
spiralling	spiral
spirilla	spirillum
spitted	spit
spitting	spit
splashier	splashy
splashiest	splashy
splayfeet	splayfoot
splenii	splenius
splitting	split
spoilt	spoil
spoke	speak
spoken	speak
spongier	spongy
spongiest	spongy
spookier	spooky
spookiest	spooky
spoon-fed	spoon-feed
spoonier	spoony
spooniest	spoony
sporangia	sporangium
sporogonia	sporogonium
sporozoa	sporozoan
sportier	sporty
sportiest	sporty
spotlit	spotlight
spotted	spot
spottier	spotty
spottiest	spotty
spotting	spot
sprang	spring
spreader	spreader
sprier	spry
spriest	spry
sprigged	sprig
sprigging	sprig
sprightlier	sprightly
sprightliest	sprightly
springer	springer
springhase	springhaas
springier	springy
springiest	springy
sprung	spring
spudded	spud
spudding	spud
spumoni	spumone
spun	spin
spurred	spur
spurring	spur
sputa	sputum
squamae	squama
squashes	squash
squashier	squashy
squashiest	squashy
squatted	squat
squatter	squat
squattest	squat
squattier	squatty
squattiest	squatty
squatting	squat
squibbed	squib
squibbing	squib
squidded	squid
squidding	squid
squiffier	squiffy
squiffiest	squiffy
squilgee	squeegee
squillae	squilla
squirrelfishes	squirrelfish
squizzes	squiz
stabbed	stab
stabbing	stab
stadia	stadium
stagier	stagy
stagiest	stagy
stalkier	stalky
stalkiest	stalky
stall-fed	stall-feed
stamina	stamen
staminodia	staminodium
stank	stink
stapedes	stapes
staphylococci	staphylococcus
stapler	stapler
starchier	starchy
starchiest	starchy
starer	starer
starest	starest
staretsy	starets
starfishes	starfish
starred	star
starrier	starry
starriest	starry
starring	star
startsy	starets
statelier	stately
stateliest	stately
steadied	steady
steadier	steady
steadiest	steady
stealthier	stealthy
stealthiest	stealthy
steamier	steamy
steamiest	steamy
stelae	stele
stellified	stellify
stemmata	stemma
stemmed	stem
stemming	stem
stems from	stem from
stencilled	stencil
stencilling	stencil
stenoses	stenosis
stepchildren	stepchild
stepped	step
stepping	step
sterna	sternum
stetted	stet
stetting	stet
stied	sty
stigmata	stigma
stilettoeing	stiletto
stimuli	stimulus
stingier	stingy
stingiest	stingy
stiper	striper
stipites	stipes
stirpes	stirps
stirred	stir
stirring	stir
stoae	stoa
stocker	stocker
stockfishes	stockfish
stockier	stocky
stockiest	stocky
stodgier	stodgy
stodgiest	stodgy
stole	steal
stolen	steal
stomata	stoma
stomodaea	stomodaeum
stomodea	stomodeum
stonefishes	stonefish
stonier	stony
stoniest	stony
stood	stand
stopped	stop
stopping	stop
storied	story
stormier	stormy
stormiest	stormy
stotinki	stotinka
stotkini	stotinka
stotted	stot
stotting	stot
stove	stave
strappadoes	strappado
strapped	strap
strapping	strap
strata	stratum
strati	stratus
stratified	stratify
stratocumuli	stratocumulus
streakier	streaky
streakiest	streaky
streamier	streamy
streamiest	streamy
street children	street child
streptococci	streptococcus
stretcher	stretcher
stretchier	stretchy
stretchiest	stretchy
stretti	stretto
strewn	strew
striae	stria
stridden	stride
stringier	stringy
stringiest	stringy
stripier	stripy
stripiest	stripy
stripped	strip
stripping	strip
striven	strive
strobili	strobilus
strode	stride
stromata	stroma
stronger	strong
strongest	strong
stropped	strop
stroppier	stroppy
stroppiest	stroppy
stropping	strop
strove	strive
strown	strow
struck	strike
strumae	struma
strummed	strum
strumming	strum
strung	string
strutted	strut
strutting	strut
stubbed	stub
stubbing	stub
stuccoes	stucco
stuck	stick
studded	stud
studding	stud
studied	study
stuffier	stuffy
stuffiest	stuffy
stultified	stultify
stummed	stum
stumming	stum
stumpier	stumpy
stumpiest	stumpy
stung	sting
stunk	stink
stunned	stun
stunning	stun
stupefied	stupefy
sturdier	sturdy
sturdiest	sturdy
styli	stylus
stylopes	stylops
stylopodia	stylopodium
stymying	stymie
subbed	sub
subbing	sub
subcortices	subcortex
subdeliria	subdelirium
subgenera	subgenus
subindices	subindex
subjectified	subjectify
subletting	sublet
submariner	submariner
submitted	submit
submitting	submit
submucosae	submucosa
subphyla	subphylum
substrasta	substratum
subtotalled	subtotal
subtotalling	subtotal
succedanea	succedaneum
succubi	succubus
suckerfishes	suckerfish
suckfishes	suckfish
sudaria	sudarium
sudatoria	sudatorium
sulci	sulcus
sulkier	sulky
sulkiest	sulky
sullied	sully
sulphuretted	sulphuret
sulphuretting	sulphuret
sultrier	sultry
sultriest	sultry
summae	summa
summed	sum
summing	sum
sunfishes	sunfish
sung	sing
sunk	sink
sunken	sink
sunned	sun
sunnier	sunny
sunniest	sunny
sunning	sun
supercargoes	supercargo
superheroes	superhero
supernovae	supernova
superstrata	superstratum
supped	sup
supping	sup
supplied	supply
surgeonfishes	surgeonfish
surlier	surly
surliest	surly
swabbed	swab
swabbing	swab
swagged	swag
swagger	swagger
swagging	swag
swam	swim
swamies	swami
swankier	swanky
swankiest	swanky
swapped	swap
swapping	swap
swarthier	swarthy
swarthiest	swarthy
swatted	swat
swatting	swat
sweatier	sweaty
sweatiest	sweaty
sweetiewives	sweetiewife
swellfishes	swellfish
swept	sweep
swigged	swig
swigging	swig
swimming	swim
swivelled	swivel
swivelling	swivel
swollen	swell
swopped	swap
swopping	swap
swops	swap
swordfishes	swordfish
swore	swear
sworn	swear
swotted	swot
swotting	swot
swum	swim
swung	swing
syconia	syconium
syllabi	syllabus
syllabified	syllabify
syllepses	syllepsis
symbolled	symbol
symbolling	symbol
symphyses	symphysis
sympodia	sympodium
symposia	symposium
synapses	synapsis
synarthroses	synarthrosis
synclinoria	synclinorium
syncytia	syncytium
syndesmoses	syndesmosis
synopses	synopsis
syntagmata	syntagma
syntheses	synthesis
syphilomata	syphiloma
syringes	syrinx
syssarcoses	syssarcosis
tabbed	tab
tabbing	tab
tableaux	tableau
tackier	tacky
tackiest	tacky
taeniae	taenia
tagged	tag
tagging	tag
taken	take
taken a side	take a side
taken pains	take pains
taken steps	take steps
takes a side	take a side
takes pains	take pains
takes steps	take steps
taking a side	take a side
taking pains	take pains
taking steps	take steps
talcked	talc
talcking	talc
tali	talus
talkier	talky
talkiest	talky
tallaisim	tallith
tallied	tally
tallithes	tallith
tallitoth	tallith
tally-ho'd	tally-ho
tammied	tammy
tangier	tangy
tangiest	tangy
tanned	tan
tanner	tan
tannest	tan
tanning	tan
tapeta	tapetum
tapped	tap
tapping	tap
tarantulae	tarantula
tardier	tardy
tardiest	tardy
tarred	tar
tarried	tarry
tarring	tar
tarsi	tarsus
tarsometatarsi	tarsometatarsus
tasselled	tassel
tasselling	tassel
tastier	tasty
tastiest	tasty
tatted	tat
tattier	tatty
tattiest	tatty
tatting	tat
taught	teach
tawdrier	tawdry
tawdriest	tawdry
taxa	taxon
taxes	tax
taxies	taxi
taxis	taxis
taxying	taxi
teaselled	teasel
teaselling	teasel
techier	techy
techiest	techy
tectrices	tectrix
tedded	ted
tedding	ted
teenager	teenager
teenier	teeny
teeniest	teeny
teeth	tooth
teetotaler	teetotaler
tegmina	tegmen
telae	tela
telamones	telamon
telangiectases	telangiectasia
telia	telium
tempi	tempo
tenacula	tenaculum
tenderfeet	tenderfoot
teniae	tenia
tenues	tenuis
tepefied	tepefy
teraphim	teraph
terata	teras
teredines	teredo
terga	tergum
termini	terminus
terraria	terrarium
terrified	terrify
terzetti	terzetto
tesserae	tessera
testae	testa
tester	tester
testes	testis
testier	testy
testiest	testy
testified	testify
testudines	testudo
tetchier	tetchy
tetchiest	tetchy
tetrahedra	tetrahedron
tetraskelia	tetraskelion
thalamencephala	thalamencephalon
thalami	thalamus
thalli	thallus
theatres-in-the-round	theatre-in-the-round
thecae	theca
therses	thyrse
thesauri	thesaurus
theses	thesis
thickleaves	thickleaf
thieves	thief
thinking the world of	think the world of
thinks the world of	think the world of
thinned	thin
thinner	thin
thinnest	thin
thinning	thin
third-rater	third-rater
thirstier	thirsty
thirstiest	thirsty
tholoi	tholos
thoraces	thorax
thornier	thorny
thorniest	thorny
thought	think
thought the world of	think the world of
threadier	thready
threadiest	thready
threw	throw
threw out	throw out
thriftier	thrifty
thriftiest	thrifty
thriven	thrive
throatier	throaty
throatiest	throaty
throbbed	throb
throbbing	throb
thrombi	thrombus
throve	thrive
throwing out	throw out
thrown	throw
thrown out	throw out
throws out	throw out
thrummed	thrum
thrumming	thrum
thudded	thud
thudding	thud
thymi	thymus
thyrsi	thyrsus
tibiae	tibia
tidied	tidy
tidier	tidy
tidiest	tidy
tilefishes	tilefish
timelier	timely
timeliest	timely
tinier	tiny
tiniest	tiny
tinned	tin
tinnier	tinny
tinniest	tinny
tinning	tin
tinselled	tinsel
tinselling	tinsel
tintinnabula	tintinnabulum
tipped	tip
tipping	tip
tipsier	tipsy
tipsiest	tipsy
titmice	titmouse
tittupped	tittup
tittupping	tittup
toadfishes	toadfish
toadied	toady
tobaccoes	tobacco
togged	tog
togging	tog
told	tell
tomatoes	tomato
tomenta	tomentum
tondi	tondo
tonier	tony
toniest	tony
tonneaux	tonneau
took	take
took a side	take a side
took pains	take pains
took steps	take steps
toothier	toothy
toothiest	toothy
toper	toper
tophi	tophus
topoi	topos
topped	top
topping	top
tore	tear
tori	torus
torn	tear
tornadoes	tornado
torpedoes	torpedo
torrefied	torrefy
torrify	torrefy
torsi	torso
totalled	total
totalling	total
totted	tot
totting	tot
touchier	touchy
touchiest	touchy
touracos	touraco
towelled	towel
towelling	towel
trabeculae	trabecula
tracheae	trachea
trader	trader
traditores	traditor
trafficked	traffic
trafficking	traffic
tragi	tragus
trameled	trammel
trameling	trammel
tramelled	trammel
tramelling	trammel
tramels	trammel
trammed	tram
tramming	tram
transferred	transfer
transferring	transfer
transfixt	transfix
tranship	transship
transhipped	tranship
transhipping	tranship
transmitted	transmit
transmitting	transmit
transmogrified	transmogrify
transshipped	transship
transshipping	transship
trapanned	trapan
trapanning	trapan
trapezia	trapezium
trapezohedra	trapezohedron
trapped	trap
trapping	trap
trashier	trashy
trashiest	trashy
traumata	trauma
travelled	travel
travelling	travel
travestied	travesty
trekked	trek
trekking	trek
trendier	trendy
trendiest	trendy
trepanned	trepan
trepanning	trepan
treponemata	treponema
trichinae	trichina
trickier	tricky
trickiest	tricky
tricksier	tricksy
tricksiest	tricksy
triclinia	triclinium
tried	try
triennia	triennium
triforia	triforium
trigged	trig
triggerfishes	triggerfish
trigging	trig
trihedra	trihedron
trimer	trimer
trimmed	trim
trimmer	trim
trimmest	trim
trimming	trim
tripped	trip
tripping	trip
triskelia	triskelion
trisoctahedra	trisoctahedron
triumviri	triumvir
trivia	trivium
trochleae	trochlea
trod	tread
trodden	tread
trogged	trog
trogging	trog
tropaeola	tropaeolum
trotted	trot
trotting	trot
trous-de-loup	trou-de-loup
trousseaux	trousseau
trowelled	trowel
trowelling	trowel
truer	true
truest	true
trunkfishes	trunkfish
trustier	trusty
trustiest	trusty
trymata	tryma
tubae	tuba
tubbier	tubby
tubbiest	tubby
tugged	tug
tugging	tug
tumefied	tumefy
tunned	tun
tunnelled	tunnel
tunnelling	tunnel
tunning	tun
tupped	tup
tupping	tup
turfier	turfy
turfiest	turfy
turves	turf
tut-tutted	tut-tut
tut-tutting	tut-tut
tweedier	tweedy
tweediest	tweedy
twigged	twig
twiggier	twiggy
twiggiest	twiggy
twigging	twig
twinned	twin
twinning	twin
twitted	twit
twitting	twit
tying	tie
tympana	tympanum
typesetting	typeset
typewritten	typewrite
typewrote	typewrite
typified	typify
tyros	tiro
ubermenschen	ubermensch
uglier	ugly
uglies	ugli
ugliest	ugly
uglified	uglify
uigurs	uighur
ulnae	ulna
ultimata	ultimatum
umbilici	umbilicus
umbones	umbo
umbrae	umbra
unbarred	unbar
unbarring	unbar
unbent	unbend
unbound	unbind
uncapped	uncap
uncapping	uncap
unci	uncus
uncidia	uredium
unclad	unclothe
unclogged	unclog
unclogging	unclog
underbidding	underbid
underbought	underbuy
undercutting	undercut
underfed	underfeed
undergirt	undergird
undergone	undergo
underlaid	underlay
underlain	underlie
underlay	underlie
underletting	underlet
underlying	underlie
underpaid	underpay
underpinned	underpin
underpinning	underpin
underpropped	underprop
underpropping	underprop
undersetting	underset
undershot	undershoot
undersold	undersell
understood	understand
understudied	understudy
undertaken	undertake
undertook	undertake
underwent	undergo
underwritten	underwrite
underwrote	underwrite
undid	undo
undone	undo
unfitted	unfit
unfitting	unfit
unfriendlier	unfriendly
unfriendliest	unfriendly
unfroze	unfreeze
unfrozen	unfreeze
ungainlier	ungainly
ungainliest	ungainly
ungodlier	ungodly
ungodliest	ungodly
unhappier	unhappy
unhappiest	unhappy
unhealthier	unhealthy
unhealthiest	unhealthy
unholier	unholy
unholiest	unholy
unified	unify
unkennelled	unkennel
unkennelling	unkennel
unknitted	unknit
unknitting	unknit
unlaid	unlay
unlearnt	unlearn
unmade	unmake
unmanned	unman
unmanning	unman
unpegged	unpeg
unpegging	unpeg
unpinned	unpin
unpinning	unpin
unplugged	unplug
unplugging	unplug
unravelled	unravel
unravelling	unravel
unrigged	unrig
unrigging	unrig
unripped	unrip
unripping	unrip
unrove	unreeve
unrulier	unruly
unruliest	unruly
unsaid	unsay
unshipped	unship
unshipping	unship
unslung	unsling
unsnapped	unsnap
unsnapping	unsnap
unspoke	unspeak
unspoken	unspeak
unsteadied	unsteady
unstepped	unstep
unstepping	unstep
unstopped	unstop
unstopping	unstop
unstrung	unstring
unstuck	unstick
unswore	unswear
unsworn	unswear
untaught	unteach
unthought	unthink
untidied	untidy
untidier	untidy
untidiest	untidy
untrod	untread
untrodden	untread
untying	untie
unwound	unwind
unwrapped	unwrap
unwrapping	unwrap
unzipped	unzip
unzipping	unzip
upbuilt	upbuild
upheld	uphold
uphove	upheave
upped	up
uppercutting	uppercut
upping	up
uprisen	uprise
uprose	uprise
upsetting	upset
upsprang	upspring
upsprung	upspring
upswept	upsweep
upswollen	upswell
upswung	upswing
uredines	uredo
uredinia	uredinium
uredosori	uredosorus
urethrae	urethra
urinalyses	urinalysis
uteri	uterus
utriculi	utriculus
uvulae	uvula
vacua	vacuum
vagged	vag
vagging	vag
vagi	vagus
vaginae	vagina
valleculae	vallecula
vaporetti	vaporetto
varices	varix
varied	vary
vasa	vas
vascula	vasculum
vastier	vasty
vastiest	vasty
vatted	vat
vatting	vat
vela	velum
velamina	velamen
velaria	velarium
venae	vena
venae cavae	vena cava
ventriculi	ventriculus
verbified	verbify
verified	verify
vermes	vermis
verrucae	verruca
versified	versify
vertebrae	vertebra
vertices	vertex
vertigines	vertigo
vertigoes	vertigo
vesicae	vesica
vest	vest
vetoes	veto
vetted	vet
vetting	vet
vexilla	vexillum
viatica	viaticum
viatores	viator
vibracula	vibraculum
vibrissae	vibrissa
vice-chairman	vice-chairman
victualled	victual
victualling	victual
viewier	viewy
viewiest	viewy
vilified	vilify
villi	villus
vimina	vimen
vincula	vinculum
viragoes	virago
vires	vis
virtuosi	virtuoso
vitae	vita
vitelli	vitellus
vitrified	vitrify
vitriolled	vitriol
vitriolling	vitriol
vittae	vitta
vivaria	vivarium
vivified	vivify
voces	vox
volcanoes	volcano
volkslieder	volkslied
volte	volta
volvae	volva
vorticellae	vorticella
vortices	vortex
vulvae	vulva
vying	vie
wackier	wacky
wackiest	wacky
wadded	wad
waddied	waddy
wadding	wad
wadsetted	wadset
wadsetting	wadset
wagged	wag
wagging	wag
wagons-lits	wagon-lit
wahhabis	wahabi
wanderjahre	wanderjahr
wanned	wan
wanner	wan
wannest	wan
wanning	wan
warier	wary
wariest	wary
warred	war
warring	war
was	be
washier	washy
washiest	washy
waster	waster
water-ski'd	water-ski
wavier	wavy
waviest	wavy
waxier	waxy
waxiest	waxy
waylaid	waylay
weakfishes	weakfish
weaklier	weakly
weakliest	weakly
wealthier	wealthy
wealthiest	wealthy
wearied	weary
wearier	weary
weariest	weary
weatherstripped	weatherstrip
weatherstripping	weatherstrip
webbed	web
webbier	webby
webbiest	webby
webbing	web
wedded	wed
wedding	wed
weed	weed
weedier	weedy
weediest	weedy
weenier	weeny
weeniest	weeny
weensier	weensy
weensiest	weensy
weepier	weepy
weepiest	weepy
weightier	weighty
weightiest	weighty
welsher	welsher
went	go
went deep	go deep
wept	weep
were	be
werewolves	werewolf
wetted	wet
wetter	wet
wettest	wet
wetting	wet
whackier	whacky
whackiest	whacky
whammed	wham
whamming	wham
whapped	whap
whapping	whap
wharves	wharf
whetted	whet
whetting	whet
whimsier	whimsy
whimsiest	whimsy
whinnied	whinny
whipped	whip
whippers-in	whipper-in
whipping	whip
whipsawn	whipsaw
whirred	whir
whirring	whir
whistle-stopped	whistle-stop
whistle-stopping	whistle-stop
whitefishes	whitefish
whizzed	whiz
whizzes	whiz
whizzing	whiz
wholesaler	wholesaler
whopped	whop
whopping	whop
wieldier	wieldy
wieldiest	wieldy
wigged	wig
wigging	wig
wigwagged	wigwag
wigwagging	wigwag
wildcatted	wildcat
wildcatting	wildcat
wilier	wily
wiliest	wily
windier	windy
windiest	windy
window-shopped	window-shop
window-shopping	window-shop
winier	winy
winiest	winy
winning	win
winterfed	winterfeed
winterier	wintery
winteriest	wintery
wintrier	wintry
wintriest	wintry
wiredrawn	wiredraw
wiredrew	wiredraw
wirier	wiry
wiriest	wiry
wispier	wispy
wispiest	wispy
withdrawn	withdraw
withdrew	withdraw
withheld	withhold
withstood	withstand
wittier	witty
wittiest	witty
wives	wife
woke	wake
woken	wake
wolffishes	wolffish
wolves	wolf
won	win
wonkier	wonky
wonkiest	wonky
wonned	won
wonning	won
woodier	woody
woodiest	woody
woodlice	woodlouse
woodsier	woodsy
woodsiest	woodsy
woollier	woolly
woolliest	woolly
woozier	woozy
wooziest	woozy
wordier	wordy
wordiest	wordy
wore	wear
worldlier	worldly
worldliest	worldly
wormier	wormy
wormiest	wormy
worn	wear
worried	worry
worse	bad
worshipped	worship
worshipping	worship
worst	bad
worthier	worthy
worthiest	worthy
wound	wind
wove	weave
woven	weave
wrapped	wrap
wrapping	wrap
wreckfishes	wreckfish
wried	wry
wrier	wry
wriest	wry
written	write
wrote	write
wrought	work
wrung	wring
wryer	wry
wryest	wry
wunderkinder	wunderkind
xiphisterna	xiphisternum
yakked	yak
yakking	yak
yapped	yap
yapping	yap
yarer	yare
yarest	yare
ycleped	clepe
yclept	clepe
yeastier	yeasty
yeastiest	yeasty
yenned	yen
yenning	yen
yeshivahs	yeshiva
yeshivoth	yeshiva
yodelled	yodel
yodelling	yodel
yogin	yogi
younger	young
youngest	young
yourselves	yourself
yummier	yummy
yummiest	yummy
zamindaris	zamindari
zanier	zany
zaniest	zany
zapped	zap
zapping	zap
zecchini	zecchino
zeroes	zero
zigzagged	zigzag
zigzagging	zigzag
zipped	zip
zippier	zippy
zippiest	zippy
zipping	zip
zoa	zoon
zoaeae	zoaea
zoeae	zoea
zoeas	zoaea
zoonoses	zoonosis
zoosporangia	zoosporangium
