'hood	noun. (slang) a neighborhood
swamphen	noun. any of various small aquatic birds of the genus Gallinula distinguished from rails by a frontal shield and a resemblance to domestic hens
swampland	noun. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
swampy	adjective. (of soil) soft and watery
swampy beggar-ticks	noun. bur marigold of eastern and northern United States and Canada common in wet pastures and meadows
swan	noun. stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult | verb. to declare or affirm solemnly and formally as true | verb. move about aimlessly or without any destination, often in search of food or employment
swan dive	noun. a dive in which the diver arches the back with arms outstretched before entering the water
swan orchid	noun. any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan
swan river daisy	noun. western Australian annual much cultivated for its flower heads with white or bluish to violet or variegated rays
swan river everlasting	noun. Australian annual everlasting having light pink nodding flower heads; sometimes placed in genus Helipterum
swan song	noun. a final performance or effort (especially before retirement)
swan's down	noun. soft woolen fabric used especially for baby clothes | noun. down of the swan
swan-flower	noun. any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan
swan-neck	noun. any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan
swanflower	noun. any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan
swank	noun. elegance by virtue of being fashionable | verb. display proudly; act ostentatiously or pretentiously | adjective. imposingly fashionable and elegant
swanky	adjective. imposingly fashionable and elegant
swanneck	noun. any of several orchids of the genus Cycnoches having slender arching columns of flowers suggesting the neck of a swan
swansea	noun. a port city in southern Wales on an inlet of the Bristol Channel
swanson	noun. United States actress in many silent films (1899-1983)
swap	noun. an equal exchange | verb. exchange or give (something) in exchange for | verb. move (a piece of a program) into memory, in computer science
swap file	noun. the disk space that is set aside for virtual memory
swap space	noun. the disk space that is set aside for virtual memory
sward	noun. surface layer of ground containing a mat of grass and grass roots
swarm	noun. a moving crowd | noun. a group of many things in the air or on the ground | verb. be teeming, be abuzz
swart	adjective. naturally having skin of a dark color
swarthiness	noun. a swarthy complexion
swarthy	adjective. naturally having skin of a dark color
swash	noun. the movement or sound of water | verb. make violent, noisy movements | verb. dash a liquid upon or against
swashbuckler	noun. a reckless impetuous irresponsible person
swashbuckling	noun. flamboyantly reckless and boastful behavior | adjective. flamboyantly adventurous
swastika	noun. the official emblem of the Nazi Party and the Third Reich; a cross with the arms bent at right angles in a clockwise direction
swat	noun. a sharp blow | verb. hit swiftly with a violent blow
swat squad	noun. a squad of policemen who have been trained to deal with violent and dangerous situations
swat team	noun. a squad of policemen who have been trained to deal with violent and dangerous situations
swatch	noun. a sample piece of cloth
swath	noun. the space created by the swing of a scythe or the cut of a mowing machine | noun. a path or strip (as cut by one course of mowing)
swathe	noun. an enveloping bandage | verb. wrap in swaddling clothes
swathing	noun. cloth coverings wrapped around something (as a wound or a baby)
swatter	noun. an implement with a flat part (of mesh or plastic) and a long handle; used to kill insects | verb. splash and flutter about in or as if in water
sway	noun. controlling influence | noun. pitching dangerously to one side | verb. move back and forth or sideways
swayback	adjective. having abnormal sagging of the spine (especially in horses)
swaybacked	adjective. having abnormal sagging of the spine (especially in horses)
swayer	noun. a person who rules or commands
swazi	noun. a member of a southeast African people living in Swaziland and adjacent areas | noun. a Bantu language closely related to Zulu | adjective. of or relating to or characteristic of Swaziland or its people or their language
swaziland	noun. a landlocked monarchy in southeastern Africa; member of the commonwealth that achieved independence from the United Kingdom in 1968
swaziland monetary unit	noun. monetary unit in Swaziland
swbs	noun. the compass point that is one point south of southwest
swbw	noun. the compass point that is one point west of southwest
swear	verb. utter obscenities or profanities | verb. to declare or affirm solemnly and formally as true | verb. promise solemnly; take an oath
swear in	verb. administer on oath to
swear off	verb. promise to abstain from
swear out	verb. deliver a warrant or summons to someone
swearer	noun. someone who uses profanity | noun. someone who takes a solemn oath
swearing	noun. profane or obscene expression usually of surprise or anger | noun. a commitment to tell the truth (especially in a court of law); to lie under oath is to become subject to prosecution for perjury
swearword	noun. profane or obscene expression usually of surprise or anger
sweat	noun. salty fluid secreted by sweat glands | noun. agitation resulting from active worry | noun. condensation of moisture on a cold surface
sweat bag	noun. a porous bag (usually of canvas) that holds water and cools it by evaporation
sweat duct	noun. a small duct that conveys sweat from a sudoriferous gland to the surface of the skin
sweat equity	noun. interest in a building that a tenant earns by contributing to its renovation or maintenance
sweat gland	noun. any of the glands in the skin that secrete perspiration
sweat off	verb. lose weight by sweating
sweat pants	noun. loose-fitting trousers with elastic cuffs; worn by athletes
sweat room	noun. a Finnish steam bath; steam is produced by pouring water over heated rocks
sweat sock	noun. a sock worn for athletic events
sweat suit	noun. garment consisting of sweat pants and a sweatshirt
sweatband	noun. a band of fabric or leather sewn inside the crown of a hat | noun. a band of material tied around the forehead or wrist to absorb sweat
sweatbox	noun. small or narrow cell | noun. a device that causes tobacco leaves or fruit or hides to sweat
sweater	noun. a crocheted or knitted garment covering the upper part of the body | noun. a person who perspires
sweater girl	noun. a girl with an attractive bust who wears tight sweaters
sweating	noun. the process of the sweat glands of the skin secreting a salty fluid
sweating sickness	noun. a disease of cattle (especially calves) | noun. epidemic in the 15th and 16th centuries and characterized by profuse sweating and high mortality
sweatpants	noun. loose-fitting trousers with elastic cuffs; worn by athletes
sweats	noun. garment consisting of sweat pants and a sweatshirt
sweatshirt	noun. cotton knit pullover with long sleeves worn during athletic activity
sweatshop	noun. factory where workers do piecework for poor pay and are prevented from forming unions; common in the clothing industry
sweatsuit	noun. garment consisting of sweat pants and a sweatshirt
swede	noun. a native or inhabitant of Sweden | noun. a cruciferous plant with a thick bulbous edible yellow root | noun. the large yellow root of a rutabaga plant used as food
sweden	noun. a Scandinavian kingdom in the eastern part of the Scandinavian Peninsula
swedenborg	noun. Swedish theologian (1688-1772)
swedish	noun. a Scandinavian language that is the official language of Sweden and one of two official languages of Finland | adjective. of or relating to or characteristic of Sweden or its people or culture or language
swedish iron	noun. wrought iron of high purity made in Sweden
swedish krona	noun. the basic unit of money in Sweden
swedish massage	noun. massage combined with a system of active and passive exercises for the muscles and joints
swedish meatball	noun. meatballs simmered in stock
swedish mile	noun. a Swedish unit of length equivalent to 10 km
swedish monetary unit	noun. monetary unit in Sweden
swedish nightingale	noun. Swedish soprano who toured the United States under the management of P. T. Barnum (1820-1887)
swedish rye	noun. a moist aromatic yeast-raised bread made with rye flour and molasses and orange rind
swedish rye bread	noun. a moist aromatic yeast-raised bread made with rye flour and molasses and orange rind
swedish turnip	noun. a cruciferous plant with a thick bulbous edible yellow root | noun. the large yellow root of a rutabaga plant used as food
sweeney todd	noun. fictional character in a play by George Pitt; a barber who murdered his customers
sweep	noun. a wide scope | noun. someone who cleans soot from chimneys | noun. winning all or all but one of the tricks in bridge
sweep away	verb. eliminate completely and without a trace | verb. overwhelm emotionally
sweep hand	noun. a second hand that is mounted on the same center as the hour and minute hand and is read on the minutes
sweep oar	noun. a long oar used in an open boat
sweep off	verb. overwhelm emotionally
sweep over	verb. overcome, as with emotions or perceptual stimuli
sweep through	verb. succeed at easily
sweep under the rug	verb. to conceal something in the hopes it won't be discovered by others
sweep up	verb. force into some kind of situation, condition, or course of action | verb. take up the cause, ideology, practice, method, of someone and use it as one's own
sweep-second	noun. a second hand that is mounted on the same center as the hour and minute hand and is read on the minutes
sweeper	noun. an employee who sweeps (floors or streets etc.) | noun. a cleaning implement with revolving brushes that pick up dirt as the implement is pushed over a carpet | noun. little-known nocturnal fish of warm shallow seas with an oblong compressed body
sweeping	noun. the act of cleaning with a broom | adjective. taking in or moving over (or as if over) a wide area; often used in combination | adjective. ignoring distinctions
sweepingly	adverb. in a sweeping manner
sweepstakes	noun. a lottery in which the prize consists of the money paid by the participants
sweet	noun. English phonetician; one of the founders of modern phonetics (1845-1912) | noun. a dish served as the last course of a meal | noun. a food rich in sugar
sweet acacia	noun. tropical American thorny shrub or small tree; fragrant yellow flowers used in making perfumery
sweet alison	noun. perennial European plant having clusters of small fragrant usually white flowers; widely grown in gardens
sweet almond	noun. small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California
sweet almond oil	noun. pale yellow fatty oil expressed from sweet or bitter almonds
sweet alyssum	noun. perennial European plant having clusters of small fragrant usually white flowers; widely grown in gardens
sweet balm	noun. bushy perennial Old World mint having small white or yellowish flowers and fragrant lemon-flavored leaves; a garden escapee in northern Europe and North America
sweet basil	noun. annual or perennial of tropical Asia having spikes of small white flowers and aromatic leaves; one of the most important culinary herbs; used in salads, casseroles, sauces and some liqueurs | noun. leaves of the common basil; used fresh or dried
sweet bay	noun. shrub or small tree having rather small fragrant white flowers; abundant in southeastern United States
sweet bells	noun. bushy deciduous shrub of the eastern United States with long racemes of pinkish flowers
sweet birch	noun. common birch of the eastern United States having spicy brown bark yielding a volatile oil and hard dark wood used for furniture
sweet buckeye	noun. a tall and often cultivated buckeye of the central United States
sweet calabash	noun. West Indian passionflower with edible apple-sized fruit | noun. apple-sized passion fruit of the West Indies
sweet calamus	noun. perennial marsh plant having swordlike leaves and aromatic roots
sweet cassava	noun. South American plant with roots used as a vegetable and herbage used for stock feed
sweet cherry	noun. large Eurasian tree producing small dark bitter fruit in the wild but edible sweet fruit under cultivation | noun. any of several fruits of cultivated cherry trees that have sweet flesh
sweet chestnut	noun. wild or cultivated throughout southern Europe, northwestern Africa and southwestern Asia
sweet cicely	noun. European herb with soft ferny leaves and white flowers | noun. aromatic resin that is burned as incense and used in perfume | noun. fresh ferny leaves and green seeds used as garnish in salads and cold vegetables; dried seeds used in confectionery and liqueurs
sweet cider	noun. unfermented cider
sweet clover	noun. erect annual or biennial plant grown extensively especially for hay and soil improvement
sweet coltsfoot	noun. American sweet-scented herb | noun. European herb with vanilla-scented white-pink flowers
sweet corn	noun. a corn plant developed in order to have young ears that are sweet and suitable for eating | noun. corn that can be eaten as a vegetable while still young and soft
sweet corn plant	noun. a corn plant developed in order to have young ears that are sweet and suitable for eating
sweet cup	noun. the edible yellow fruit of the Jamaica honeysuckle
sweet elder	noun. common elder of central and eastern North America bearing purple-black berries; fruit used in wines and jellies
sweet false chamomile	noun. annual Eurasian herb similar in fragrance and medicinal uses to chamomile though taste is more bitter and effect is considered inferior
sweet fanny adams	noun. little or nothing at all
sweet fern	noun. mat-forming lithophytic or terrestrial fern with creeping rootstocks and large pinnatifid fronds found throughout North America and Europe and Africa and east Asia | noun. deciduous shrub of eastern North America with sweet scented fernlike leaves and tiny white flowers
sweet flag	noun. perennial marsh plant having swordlike leaves and aromatic roots
sweet four o'clock	noun. leafy wildflower having fragrant slender white or pale pink trumpet-shaped flowers; southwestern United States and northern Mexico
sweet gale	noun. bog shrub of north temperate zone having bitter-tasting fragrant leaves
sweet goldenrod	noun. goldenrod of eastern America having aromatic leaves from which a medicinal tea is made
sweet granadilla	noun. considered best for fruit
sweet grass	noun. any of several moisture-loving grasses of the genus Glyceria having sweet flavor or odor
sweet gum	noun. reddish-brown wood and lumber from heartwood of the sweet gum tree used to make furniture | noun. aromatic exudate from the sweet gum tree | noun. a North American tree of the genus Liquidambar having prickly spherical fruit clusters and fragrant sap
sweet gum tree	noun. a North American tree of the genus Liquidambar having prickly spherical fruit clusters and fragrant sap
sweet lemon	noun. lemon tree having fruit with a somewhat insipid sweetish pulp
sweet lime	noun. lemon tree having fruit with a somewhat insipid sweetish pulp
sweet marjoram	noun. aromatic European plant native to Mediterranean and Turkey; not widespread in Europe
sweet melon	noun. any of several varieties of vine whose fruit has a netted rind and edible flesh and a musky smell | noun. the fruit of a muskmelon vine; any of several sweet melons related to cucumbers
sweet melon vine	noun. any of several varieties of vine whose fruit has a netted rind and edible flesh and a musky smell
sweet nothings	noun. inconsequential expressions of affection
sweet oil	noun. mild vegetable oil when used as food; especially olive or edible rape oil
sweet orange	noun. orange with sweet juicy pulp; often has a thin skin | noun. probably native to southern China; widely cultivated as source of table and juice oranges
sweet orange tree	noun. probably native to southern China; widely cultivated as source of table and juice oranges
sweet pea	noun. climbing garden plant having fragrant pastel-colored flowers
sweet pepper	noun. plant bearing large mild thick-walled usually bell-shaped fruits; the principal salad peppers | noun. large mild crisp thick-walled capsicum peppers usually bell-shaped or somewhat oblong; commonly used in salads
sweet pepper plant	noun. plant bearing large mild thick-walled usually bell-shaped fruits; the principal salad peppers
sweet pepperbush	noun. shrub of eastern and southern coastal United States having beautiful racemes of spice-scented white flowers
sweet pickle	noun. pickle cured in brine and preserved in sugar and vinegar
sweet potato	noun. pantropical vine widely cultivated in several varieties for its large sweet tuberous root with orange flesh | noun. the edible tuberous root of the sweet potato vine which is grown widely in warm regions of the United States | noun. egg-shaped terra cotta wind instrument with a mouthpiece and finger holes
sweet potato vine	noun. pantropical vine widely cultivated in several varieties for its large sweet tuberous root with orange flesh
sweet reseda	noun. Mediterranean woody annual widely cultivated for its dense terminal spikelike clusters greenish or yellowish white flowers having an intense spicy fragrance
sweet rocket	noun. long cultivated herb having flowers whose scent is more pronounced in the evening; naturalized throughout Europe to Siberia and into North America
sweet roll	noun. any of numerous yeast-raised sweet rolls with our without raisins or nuts or spices or a glaze
sweet sand verbena	noun. taller than Abronia elliptica and having night-blooming flowers | noun. plant having heads of fragrant white trumpet-shaped flowers; grows in sandy arid regions
sweet scabious	noun. Old World annual having fragrant purple to deep crimson flower heads; naturalized in United States
sweet shrub	noun. hardy shrub of southeastern United States having clove-scented wood and fragrant red-brown flowers
sweet sorghum	noun. any of several sorghums cultivated as a source of syrup
sweet sultan	noun. annual of Mediterranean to Portugal having hairy stems and minutely spiny-toothed leaves and large heads of yellow flowers | noun. perennial of mountains of Iran and Iraq; cultivated for its fragrant rose-pink flowers | noun. Asian plant widely grown for its sweetly fragrant pink flowers; sometimes placed in genus Centaurea
sweet talk	noun. flattery designed to gain favor
sweet talker	noun. someone with an assured and ingratiating manner
sweet tooth	noun. a strong appetite for sweet food
sweet unicorn plant	noun. a herbaceous plant of the genus Proboscidea
sweet vermouth	noun. sweet dark amber variety
sweet vetch	noun. perennial of western United States having racemes of pink to purple flowers followed by flat pods that separate into nearly orbicular joints
sweet violet	noun. European violet typically having purple to white flowers; widely naturalized
sweet wattle	noun. tropical American thorny shrub or small tree; fragrant yellow flowers used in making perfumery
sweet white violet	noun. short-stemmed violet of eastern North America having fragrant purple-veined white flowers
sweet william	noun. Eurasian pink widely cultivated for its flat-topped dense clusters of varicolored flowers
sweet woodruff	noun. Old World fragrant stoloniferous perennial having small white flowers and narrow leaves used as flavoring and in sachets; widely cultivated as a ground cover; in some classifications placed in genus Asperula | noun. fragrant dark green leaves used to flavor May wine
sweet wormwood	noun. wormwood of southeastern Europe to Iran
sweet-birch oil	noun. a liquid ester with a strong odor of wintergreen; applied externally for minor muscle and joint pain
sweet-breathed	adjective. having breath or breath as specified
sweet-faced	adjective. having a pleasing face or one showing a sweet disposition
sweet-flavored	adjective. with sweetening added
sweet-potato ring rot	noun. disease of sweet potatoes in which roots are girdled by rings of dry rot
sweet-potato whitefly	noun. a variety of whitefly
sweet-scented	adjective. having a natural fragrance
sweet-scented geranium	noun. any of several southern African geraniums having fragrant three-lobed to five-lobed leaves and pink flowers
sweet-smelling	adjective. having a natural fragrance
sweet-talk	verb. influence or urge by gentle urging, caressing, or flattering
sweetbread	noun. edible glands of an animal
sweetbreads	noun. edible glands of an animal
sweetbriar	noun. Eurasian rose with prickly stems and fragrant leaves and bright pink flowers followed by scarlet hips
sweetbrier	noun. Eurasian rose with prickly stems and fragrant leaves and bright pink flowers followed by scarlet hips
sweeten	verb. make sweeter in taste | verb. make sweeter, more pleasant, or more agreeable
sweetened	adjective. with sweetening added
sweetener	noun. something added to foods to make them taste sweeter | noun. anything that serves as an enticement
sweetening	noun. something added to foods to make them taste sweeter | noun. an improvement that makes something more agreeable | noun. the act of adding a sweetener to food
sweetheart	noun. a person loved by another person | noun. any well-liked individual | noun. a very attractive or seductive looking woman
sweetie	noun. a person loved by another person
sweetish	adjective. somewhat sweet
sweetleaf	noun. small yellowwood tree of southern United States having small fragrant white flowers; leaves and bark yield a yellow dye
sweetleaf family	noun. a dicotyledonous family of order Ebenales
sweetly	adverb. in an affectionate or loving manner (`sweet' is sometimes a poetic or informal variant of `sweetly')
sweetmeat	noun. a sweetened delicacy (as a preserve or pastry)
sweetness	noun. the taste experience when sugar dissolves in the mouth | noun. the property of tasting as if it contains sugar | noun. a pleasingly sweet olfactory property
sweetness and light	noun. a mild reasonableness
sweetpea	noun. climbing garden plant having fragrant pastel-colored flowers
sweetsop	noun. tropical American tree bearing sweet pulpy fruit with thick scaly rind and shiny black seeds | noun. sweet pulpy tropical fruit with thick scaly rind and shiny black seeds
sweetsop tree	noun. tropical American tree bearing sweet pulpy fruit with thick scaly rind and shiny black seeds
sweetwood bark	noun. aromatic bark of cascarilla; used as a tonic and for making incense
swell	noun. the undulating movement of the surface of the open sea | noun. a rounded elevation (especially one on an ocean floor) | noun. a crescendo followed by a decrescendo
swell up	verb. expand abnormally
swelled	adjective. feeling self-importance
swelled head	noun. an exaggerated opinion of your own importance
swellhead	noun. a conceited and self-centered person
swelling	noun. an abnormal protuberance or localized enlargement | noun. something that bulges out or is protuberant or projects from its surroundings | noun. the increase in volume of certain substances when they are heated (often accompanied by release of water)
swelter	verb. be uncomfortably hot | verb. suffer from intense heat
sweltering	adjective. excessively hot and humid or marked by sweating and faintness
sweltry	adjective. excessively hot and humid or marked by sweating and faintness
swept	adjective. possessing sweep
sweptback	adjective. (especially of aircraft wings) angled rearward from the point of attachment | adjective. used of hair
sweptwing	adjective. (of an aircraft) having sweptback wings
swertia	noun. genus of herbs of mountains of North America and Eurasia and Africa
swertia perennia	noun. perennial of damp places in mountains of Eurasia and North America having dull-colored blue or violet flowers
swertia speciosa	noun. tall herb with panicles of white flowers flushed with green; northwestern United States; sometimes placed in genus Swertia
swerve	noun. the act of turning aside suddenly | noun. an erratic deflection from an intended course | verb. turn sharply; change direction abruptly
swerving	noun. the act of turning aside suddenly
swietinia	noun. tropical American mahogany trees
swietinia macrophylla	noun. an important Central American mahogany tree
swietinia mahogani	noun. mahogany tree of West Indies
swift	noun. United States meat-packer who began the use of refrigerated railroad cars (1839-1903) | noun. an English satirist born in Ireland (1667-1745) | noun. a small bird that resembles a swallow and is noted for its rapid flight
swift-footed	adjective. having rapidly moving feet
swiftlet	noun. swift of eastern Asia; produces the edible bird's nest
swiftly	adverb. in a swift manner
swiftness	noun. a rate (usually rapid) at which something happens
swig	noun. a large and hurried swallow | verb. strike heavily, especially with the fist or a bat | verb. to swallow hurriedly or greedily or in one draught
swill	noun. wet feed (especially for pigs) consisting of mostly kitchen waste mixed with water or skimmed or sour milk | verb. feed pigs | verb. drink large quantities of (liquid, especially alcoholic drink)
swill down	verb. drink large quantities of (liquid, especially alcoholic drink)
swilling	noun. the drinking of large mouthfuls rapidly
swim	noun. the act of swimming | verb. travel through water | verb. be afloat either on or below a liquid surface and not sink to the bottom
swim bladder	noun. an air-filled sac near the spinal column in many fishes that helps maintain buoyancy
swim meet	noun. a swimming competition between two or more teams
swimmer	noun. a trained athlete who participates in swimming meets | noun. a person who travels through the water by swimming
swimmer's itch	noun. a sensitization reaction to repeated invasion of the skin by cercariae of schistosomes
swimmeret	noun. one of the paired abdominal appendages of certain aquatic crustaceans that function primarily for carrying the eggs in females and are usually adapted for swimming
swimming	noun. the act of swimming | adjective. filled or brimming with tears | adjective. applied to a fish depicted horizontally
swimming bath	noun. pool that provides a facility for swimming
swimming cap	noun. a tight-fitting cap that keeps hair dry while swimming
swimming costume	noun. tight fitting garment worn for swimming
swimming crab	noun. marine crab with some legs flattened and fringed for swimming
swimming event	noun. an athletic competition that involves swimming
swimming hole	noun. a small body of water (usually in a creek) that is deep enough to use for swimming
swimming kick	noun. a movement of the legs in swimming
swimming meet	noun. a swimming competition between two or more teams
swimming pool	noun. pool that provides a facility for swimming
swimming stroke	noun. a method of moving the arms and legs to push against the water and propel the swimmer forward
swimming trunks	noun. swimsuit worn by men while swimming
swimmingly	adverb. with no problems or difficulties
swimsuit	noun. tight fitting garment worn for swimming
swimwear	noun. tight fitting garment worn for swimming
swinburne	noun. English poet (1837-1909)
swindle	noun. the act of swindling by some fraudulent scheme | verb. deprive of by deceit
swindler	noun. a person who swindles you by means of deception or fraud
swine	noun. stout-bodied short-legged omnivorous animals
swine flu	noun. an acute and highly contagious respiratory disease of swine caused by the orthomyxovirus thought to be the same virus that caused the 1918 influenza pandemic
swine influenza	noun. an acute and highly contagious respiratory disease of swine caused by the orthomyxovirus thought to be the same virus that caused the 1918 influenza pandemic
swineherd	noun. a herder or swine
swing	noun. a state of steady vigorous action that is characteristic of an activity | noun. mechanical device used as a plaything to support someone swinging back and forth | noun. a sweeping blow or stroke
swing about	verb. turn abruptly and face the other way, either physically or metaphorically
swing around	verb. turn abruptly and face the other way, either physically or metaphorically
swing door	noun. a door that swings on a double hinge; opens in either direction
swing music	noun. a style of jazz played by big bands popular in the 1930s; flowing rhythms but less complex than later styles of jazz
swing out	verb. make a big sweeping gesture or movement
swing over	verb. influence decisively
swing shift	noun. the work shift during the evening (as 4 p.m. to midnight)
swing voter	noun. a voter who has no allegiance to any political party and whose unpredictable decisions can swing the outcome of an election one way or the other
swinge	verb. burn superficially or lightly
swingeing	adjective. severe; punishingly bad
swinger	noun. someone who swings sports implements | noun. a person who engages freely in promiscuous sex
swinging	noun. changing location by moving back and forth | adjective. characterized by a buoyant rhythm
swinging chad	noun. a chad that is incompletely removed and still attached at two corners
swinging door	noun. a door that swings on a double hinge; opens in either direction
swinging post	noun. the gatepost on which the gate is hung
swingletree	noun. a crossbar that is attached to the traces of a draft horse and to the vehicle or implement that the horse is pulling
swingy	adjective. characterized by a buoyant rhythm
swinish	adjective. ill-mannered and coarse and contemptible in behavior or appearance | adjective. resembling swine; coarsely gluttonous or greedy
swipe	noun. a sweeping stroke or blow | verb. strike with a swiping motion | verb. make off with belongings of others
swirl	noun. the shape of something rotating rapidly | verb. turn in a twisting or spinning motion | verb. flow in a circular current, of liquids
swish	noun. a brushing or rustling sound | verb. move with or cause to move with a whistling or hissing sound | adjective. elegant and fashionable
swishy	adjective. resembling a sustained `sh' or soft whistle
swiss	noun. the natives or inhabitants of Switzerland | adjective. of or relating to Switzerland or its people or culture
swiss canton	noun. one of the cantons of Switzerland
swiss chard	noun. beet lacking swollen root; grown as a vegetable for its edible leaves and stalks | noun. long succulent whitish stalks with large green leaves
swiss cheese	noun. hard pale yellow cheese with many holes from Switzerland
swiss confederation	noun. a landlocked federal republic in central Europe
swiss franc	noun. the basic unit of money in Switzerland
swiss mountain pine	noun. low shrubby pine of central Europe with short bright green needles in bunches of two
swiss people	noun. the natives or inhabitants of Switzerland
swiss pine	noun. large five-needled European pine; yields cembra nuts and a resinous exudate
swiss roll	noun. thin sheet of sponge cake spread with jelly and then rolled up to make a cylindrical cake
swiss steak	noun. steak braised in tomato and onion mixture
swiss stone pine	noun. large five-needled European pine; yields cembra nuts and a resinous exudate
switch	noun. control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit | noun. an event in which one thing is substituted for another | noun. hairpiece consisting of a tress of false hair; used by women to give shape to a coiffure
switch cane	noun. small cane of watery or moist areas in southern United States
switch engine	noun. a locomotive for switching rolling stock in a railroad yard
switch grass	noun. grass of western America used for hay
switch off	verb. cause to stop operating by disengaging a switch
switch on	verb. cause to operate by flipping a switch
switch over	verb. change over, change around, as to a new order or sequence
switch-hit	verb. bat right-handed against a left-handed and left-handed against a right-handed pitcher
switch-hitter	noun. a baseball player who can bat either right or left handed | noun. slang term for a bisexual person
switch-ivy	noun. fast-growing evergreen shrub of southeastern United States having arching interlaced branches and racemes of white flowers
switchblade	noun. a pocketknife with a blade that springs open at the press of a button
switchblade knife	noun. a pocketknife with a blade that springs open at the press of a button
switchboard	noun. telephone central where circuits are completed with patchcords
switchboard operator	noun. someone who helps callers get the person they are calling
switcher	noun. a person who administers punishment by wielding a switch or whip
switcheroo	noun. a sudden unexpected switch
switching	noun. the act of changing one thing or position for another
switchman	noun. a man who operates railroad switches
swither	noun. agitation resulting from active worry
switzerland	noun. a landlocked federal republic in central Europe
swivel	noun. a coupling (as in a chain) that has one end that turns on a headed pin | verb. turn on a pivot
swivel chair	noun. a chair that swivels on its base
swivel pin	noun. bolt that provides a steering joint in a motor vehicle
swivet	noun. a panic or extreme discomposure
swiz	noun. British slang for a swindle
swizzle	noun. any of various tall frothy mixed drinks made usually of rum and lime juice and sugar shaken with ice
swizzle stick	noun. a small stick used to stir mixed drinks
swob	noun. cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors | verb. wash with a swab or a mop | verb. apply (usually a liquid) to a surface
swollen	adjective. characteristic of false pride; having an exaggerated sense of self-importance
swollen-headed	adjective. characteristic of false pride; having an exaggerated sense of self-importance
swoon	noun. a spontaneous loss of consciousness caused by insufficient blood to the brain | verb. pass out from weakness, physical or emotional distress due to a loss of blood supply to the brain
swooning	adjective. weak and likely to lose consciousness
swoop	noun. (music) rapid sliding up or down the musical scale | noun. a very rapid raid | noun. a swift descent through the air
swoop up	verb. seize or catch with a swooping motion
swoosh	noun. the noise produced by the sudden rush of a fluid (a gas or liquid) | verb. move with or cause to move with a whistling or hissing sound
swop	noun. an equal exchange | verb. exchange or give (something) in exchange for
sword	noun. a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
sword bean	noun. twining tropical Old World plant bearing long pods usually with red or brown beans; long cultivated in Orient for food
sword cane	noun. a cane concealing a sword or dagger
sword dance	noun. any of various dances by men who step nimbly over swords or flourish them in the air
sword dancing	noun. any of various dances by men who step nimbly over swords or flourish them in the air
sword fern	noun. any of several tropical ferns having more or less sword-shaped fronds including one from which the Boston fern developed
sword grass	noun. any of various grasses or sedges having sword-shaped leaves with sharp edges
sword knot	noun. an ornamental tassel on the hilt of a sword
sword lily	noun. any of numerous plants of the genus Gladiolus native chiefly to tropical and South Africa having sword-shaped leaves and one-sided spikes of brightly colored funnel-shaped flowers; widely cultivated | noun. plants with sword-shaped leaves and erect stalks bearing bright-colored flowers composed of three petals and three drooping sepals
sword of damocles	noun. a constant and imminent peril
sword stick	noun. a cane concealing a sword or dagger
sword-cut	noun. a scar from a cut made by a sword
sword-shaped	adjective. shaped like a sword blade
swordfish	noun. flesh of swordfish usually served as steaks | noun. large toothless marine food fish with a long swordlike upper jaw; not completely cold-blooded i.e. they are able to warm their brains and eyes: worldwide in warm waters but feed on cold ocean floor coming to surface at night
swordlike	adjective. shaped like a sword blade
swordplay	noun. the act using a sword (or other weapon) vigorously and skillfully
swordsman	noun. someone skilled at fencing
swordsmanship	noun. skill in fencing
swordtail	noun. freshwater fish of Central America having a long swordlike tail; popular aquarium fish
sworn	adjective. bound by or as if by an oath | adjective. bound by or stated on oath
swosh	verb. move with or cause to move with a whistling or hissing sound
swot	noun. an insignificant student who is ridiculed as being affected or boringly studious | verb. study intensively, as before an exam
swot up	verb. study intensively, as before an exam
swung dash	noun. a punctuation mark used in text to indicate the omission of a word
sybarite	noun. a person addicted to luxury and pleasures of the senses
sybaritic	adjective. displaying luxury and furnishing gratification to the senses
sycamore	noun. variably colored and sometimes variegated hard tough elastic wood of a sycamore tree | noun. any of several trees of the genus Platanus having thin pale bark that scales off in small plates and lobed leaves and ball-shaped heads of fruits | noun. Eurasian maple tree with pale grey bark that peels in flakes like that of a sycamore tree; leaves with five ovate lobes yellow in autumn
sycamore fig	noun. thick-branched wide-spreading tree of Africa and adjacent southwestern Asia often buttressed with branches rising from near the ground; produces cluster of edible but inferior figs on short leafless twigs; the biblical sycamore
syconium	noun. the fleshy multiple fruit of the fig consisting of an enlarged hollow receptacle containing numerous fruitlets
sycophancy	noun. fawning obsequiousness
sycophant	noun. a person who tries to please someone in order to gain a personal advantage
